ID,What is your current academic level?,"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?","Before this course, how often did you use AI tools for academic work?","This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),How often did you use the course chatbot (Virtual TA) this semester?,When in the semester did you use it most?,What did you use the Virtual TA for? (Select all that apply.),Typical session length with the Virtual TA (average time per session):,Learning & understanding (select all that apply).,Efficiency and workload (select all that apply),Study Strategies,Perceived learning outcome,Depth vs superficial understanding,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",Self-reported adherence.,"How did you use or perceive the FAQ materials provided during the course, which were generated from questions students asked to the VTA? (Select all that apply)",Would you like to have a Virtual TA (or something similar) in other technical courses?,Would you recommend future students in this course make active use of the Virtual TA?,benefit_learning,benefit_efficiency,likert_score,deeper_understanding
31286,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times total,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,No,Reported benefit,Efficiency benefit,4,True
90032,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;I use Ai mainly for non-academic tasks;,1-2 times total,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,Using Virtual TA encouraged me to attempt more challenging problems.,"Without the Virtual TA, I think my final grade would have been lower.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Maybe,Maybe,No benefit,No efficiency benefit,3,False
55076,Senior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Preparing for midterms/exams;,Never,I only tried it once or twice,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Not sure / It depends on the design,Not sure / It depends on the design,No benefit,No efficiency benefit,3,False
43320,Junior,Low,A few times per semester,A few times per semester,Explaining difficult concepts;Generating code or troubleshooting code;I generally do not use AI tools;,1-2 times total,Mostly near exams / deadlines,Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;,Yes,Yes,No benefit,Efficiency benefit,3,False
38820,Sophomore,Very HIgh,Daily or almost daily,Daily or almost daily,Explaining difficult concepts;Preparing for midterms/exams;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,"The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ clarified common points of confusion related to the topic.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;Most of the FAQ content was too basic because I already understood those concepts.;",Not sure / It depends on the design,Yes,No benefit,No efficiency benefit,3,False
36448,Junior,Moderate,A few times per semester,A few times per semester,Explaining difficult concepts;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;The FAQ was useful as a quick review or study resource.;,Yes,Yes,Reported benefit,Efficiency benefit,4,True
64404,Junior,Moderate,A few times per month,A few times per month,Explaining difficult concepts;Preparing for midterms/exams;Checking my homework or solutions;,1-2 times total,Mostly in the middle of the course,Clarifying lecture concepts;Preparing for midterms;Clarifying Lab instructions or lab analysis;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly before trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Maybe,Maybe,No benefit,No efficiency benefit,3,False
71200,Sophomore,High,A few times per semester,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Checking my understanding of Class notes;,1-2 times total,Mostly in the middle of the course,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for final exam;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;Using the Virtual TA made me more confident in this subject;The Virtual TA helped me make connections across topics;,The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Agree,I have used AI mainly to check or improve work I already did myself.,"The FAQ included questions I wanted to ask but had not asked myself.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ clarified common points of confusion related to the topic.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;",Yes,Yes,Reported benefit,Efficiency benefit,4,True
36254,Sophomore,High,A few times per semester,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Checking my understanding of Class notes;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;,The Virtual TA saved me time overall in this course.;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA helped me complete my homework or studying more efficiently;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Agree,I have used AI mainly to check or improve work I already did myself.,The FAQ helped me understand the topic better.;The FAQ included questions I wanted to ask but had not asked myself.;The FAQ clarified common points of confusion related to the topic.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ was useful as a quick review or study resource.;,Yes,Yes,Reported benefit,Efficiency benefit,4,True
15507,Senior,High,Daily or almost daily,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Drafting written assignments;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Strongly disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,No efficiency benefit,1,True
60196,Senior,High,A few times per week,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Preparing for midterms/exams;Creating study notes / summaries;Checking my understanding of Class notes;,1-2 times per week,Mostly near exams / deadlines,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ clarified common points of confusion related to the topic.;,Not sure / It depends on the design,Yes,Reported benefit,Efficiency benefit,3,True
75801,Senior,High,A few times per month,A few times per month,Explaining difficult concepts;Generating code or troubleshooting code;Brainstorming ideas;Creating study notes / summaries;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Checking or debugging my homework solutions;,More than 60 minutes,Using the Virtual TA made me more confident in this subject;,The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,The FAQ clarified common points of confusion related to the topic.;Most of the FAQ content was too basic because I already understood those concepts.;,Yes,Maybe,No benefit,Efficiency benefit,3,False
41691,Senior,Moderate,A few times per week,A few times per week,Generating code or troubleshooting code;Checking my understanding of Class notes;Preparing for midterms/exams;Creating study notes / summaries;Brainstorming ideas;Drafting written assignments;,A few times per month,I only tried it once or twice,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,15-30 minutes,The Virtual TA helped me make connections across topics;The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Strongly agree,I have used AI mainly to check or improve work I already did myself.,"The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ clarified common points of confusion related to the topic.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;",Not sure / It depends on the design,Not sure / It depends on the design,Reported benefit,Efficiency benefit,5,True
38190,Junior,Moderate,A few times per week,A few times per semester,Explaining difficult concepts;Drafting written assignments;Checking my homework or solutions;Creating study notes / summaries;Brainstorming ideas;,A few times per month,Mostly near exams / deadlines,Preparing for final exam;Preparing for midterms;Preparing for quizes;Clarifying lecture concepts;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;Using the Virtual TA made me more confident in this subject;,"The Virtual TA helped me complete my homework or studying more efficiently;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);The Virtual TA reduced the amount of time I felt stuck on problems.;",I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I have used AI mainly to check or improve work I already did myself.,I reviewed the FAQ only briefly and did not use it much.;,Yes,Yes,Reported benefit,Efficiency benefit,4,True
51230,Senior,Moderate,A few times per month,A few times per semester,Explaining difficult concepts;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I have used AI mainly to check or improve work I already did myself.,The FAQ helped me understand the topic better.;,Maybe,Maybe,No benefit,No efficiency benefit,3,False
79716,Junior,Moderate,A few times per week,A few times per week,Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Explaining difficult concepts;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,15-30 minutes,The Virtual TA helped me make connections across topics;The Virtual TA helped me understand course concepts more deeply;,"The Virtual TA reduced the amount of time I felt stuck on problems.;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I have used AI mainly to check or improve work I already did myself.,"The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;The FAQ helped me understand the topic better.;",Maybe,Yes,Reported benefit,Efficiency benefit,4,True
50158,Junior,Low,A few times per week,Daily or almost daily,Explaining difficult concepts;Checking my understanding of Class notes;Creating study notes / summaries;Checking my homework or solutions;,I was not aware of the course chatbot( Virtual TA),I only tried it once or twice,Clarifying Lab instructions or lab analysis;,Less than 5 minutes,The Virtual TA didn't affect my learning;,"None of the Above;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;I reviewed the FAQ only briefly and did not use it much.;,Yes,Yes,No benefit,No efficiency benefit,3,False
24176,Sophomore,High,A few times per week,A few times per week,Drafting written assignments;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;,1-2 times total,Mostly near exams / deadlines,Preparing for midterms;Preparing for final exam;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,The Virtual TA helped me perform better on quizzes and exams.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,No benefit,No efficiency benefit,3,False
84233,Senior,Moderate,A few times per semester,A few times per semester,Checking my homework or solutions;Generating code or troubleshooting code;Brainstorming ideas;,A few times per month,Mostly at the beginning of the course,Clarifying lecture concepts;Preparing for quizes;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I have used AI to generate solutions that I submitted with minimal modification.,The FAQ helped me understand the topic better.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
74605,Senior,Moderate,A few times per week,A few times per month,Explaining difficult concepts;Creating study notes / summaries;Preparing for midterms/exams;,A few times per month,Mostly near exams / deadlines,Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,30-60 minutes,The Virtual TA helped me understand course concepts more deeply;,"The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,"The FAQ included questions I wanted to ask but had not asked myself.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;",Yes,Yes,Reported benefit,Efficiency benefit,3,True
15014,Junior,High,A few times per semester,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Preparing for midterms/exams;Creating study notes / summaries;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;,"Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Strongly disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ included questions I wanted to ask but had not asked myself.;,Yes,Yes,Reported benefit,Efficiency benefit,1,True
23426,Sophomore,High,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times per week,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,"The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I have used AI to generate solutions that I submitted with minimal modification.,I reviewed the FAQ only briefly and did not use it much.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
17990,Junior,Moderate,A few times per month,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Drafting written assignments;Brainstorming ideas;,A few times per month,Mostly in the middle of the course,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,Using Virtual TA encouraged me to attempt more challenging problems.,The Virtual TA helped me perform better on quizzes and exams.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
46573,Junior,Moderate,A few times per semester,A few times per semester,Generating code or troubleshooting code;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;,30-60 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,"The FAQ helped me understand the topic better.;The FAQ clarified common points of confusion related to the topic.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;",Maybe,Yes,Reported benefit,Efficiency benefit,3,True
13957,Sophomore,Moderate,A few times per month,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Checking my understanding of Class notes;,1-2 times per week,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for quizes;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,The Virtual TA helped me complete my homework or studying more efficiently;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;,Yes,Yes,Reported benefit,Efficiency benefit,4,True
82036,Junior,Low,A few times per semester,A few times per month,Explaining difficult concepts;Brainstorming ideas;Checking my understanding of Class notes;Creating study notes / summaries;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I have used AI mainly to check or improve work I already did myself.,I reviewed the FAQ only briefly and did not use it much.;,Yes,Maybe,Reported benefit,Efficiency benefit,3,True
45679,Sophomore,Moderate,A few times per month,A few times per month,Brainstorming ideas;Preparing for midterms/exams;Explaining difficult concepts;,1-2 times total,Mostly in the middle of the course,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Yes,Yes,No benefit,No efficiency benefit,3,False
22909,Senior,Moderate,A few times per semester,A few times per semester,Checking my homework or solutions;Brainstorming ideas;,A few times per month,Mostly in the middle of the course,Clarifying homework problems before attempting them;Preparing for quizes;Preparing for midterms;Preparing for final exam;,5-15 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA helped me complete my homework or studying more efficiently;,Using Virtual TA encouraged me to attempt more challenging problems.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,"The FAQ introduced questions or perspectives I had not previously considered.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;",Yes,Yes,No benefit,Efficiency benefit,3,False
83269,Senior,Moderate,A few times per semester,A few times per semester,Explaining difficult concepts;,Never,Mostly at the beginning of the course,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,The FAQ helped me understand the topic better.;,Maybe,Maybe,Reported benefit,Efficiency benefit,3,True
36642,Sophomore,Moderate,A few times per month,A few times per month,Explaining difficult concepts;Brainstorming ideas;Preparing for midterms/exams;I use Ai mainly for non-academic tasks;Checking my understanding of Class notes;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
67852,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;,1-2 times total,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Strongly agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Not sure / It depends on the design,No,No benefit,No efficiency benefit,5,False
71842,Sophomore,Very HIgh,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times total,I only tried it once or twice,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,"The Virtual TA helped me complete my homework or studying more efficiently;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Strongly disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,Efficiency benefit,1,True
27197,Senior,Moderate,A few times per week,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;Drafting written assignments;Preparing for midterms/exams;Checking my understanding of Class notes;I use Ai mainly for non-academic tasks;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;Preparing for midterms;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ clarified common points of confusion related to the topic.;,Yes,Yes,Reported benefit,Efficiency benefit,2,True
46604,Junior,Moderate,A few times per semester,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for quizes;Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA reduced the amount of time I felt stuck on problems.;,Using Virtual TA encouraged me to attempt more challenging problems.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ clarified common points of confusion related to the topic.;,Yes,Yes,No benefit,Efficiency benefit,2,False
